"symbol" "EntrezID" "CGC" "Kandothetal"
"PRF1" 5551 TRUE FALSE
"PRKAR1A" 5573 TRUE FALSE
"PRO1073" 29005 TRUE FALSE
"PSIP1" 11168 TRUE FALSE
"PTCH1" 5727 TRUE FALSE
"PTEN" 5728 TRUE TRUE
"PTPN11" 5781 TRUE TRUE
"RABEP1" 9135 TRUE FALSE
"RAD51B" 5890 TRUE FALSE
"RAF1" 5894 TRUE FALSE
"RALGDS" 5900 TRUE FALSE
"RANBP17" 64901 TRUE FALSE
"RAP1GDS1" 5910 TRUE FALSE
"RARA" 5914 TRUE FALSE
"RB1" 5925 TRUE TRUE
"RBM15" 64783 TRUE FALSE
"RECQL4" 9401 TRUE FALSE
"REL" 5966 TRUE FALSE
"RET" 5979 TRUE FALSE
"ROS1" 6098 TRUE FALSE
"RPL22" 6146 TRUE TRUE
"RPN1" 6184 TRUE FALSE
"RUNDC2A" 84127 TRUE FALSE
"RUNX1" 861 TRUE TRUE
"KAT6A" 7994 TRUE FALSE
"SBDS" 51119 TRUE FALSE
"SDC4" 6385 TRUE FALSE
"SDHAF2" 54949 TRUE FALSE
"SDHB" 6390 TRUE FALSE
"SDHC" 6391 TRUE FALSE
"SDHD" 6392 TRUE FALSE
"SEPT6" 23157 TRUE FALSE
"SET" 6418 TRUE FALSE
"SETD2" 29072 TRUE TRUE
"SF3B1" 23451 TRUE TRUE
"SFPQ" 6421 TRUE FALSE
"SRSF3" 6428 TRUE FALSE
"SH2B3" 10019 TRUE FALSE
"SH3GL1" 6455 TRUE FALSE
"STIL" 6491 TRUE FALSE
"SLC34A2" 10568 TRUE FALSE
"SLC45A3" 85414 TRUE FALSE
"SMARCA4" 6597 TRUE FALSE
"SMARCB1" 6598 TRUE FALSE
"SMO" 6608 TRUE FALSE
"SOCS1" 8651 TRUE FALSE
"SOX2" 6657 TRUE FALSE
"SRGAP3" 9901 TRUE FALSE
"SRSF2" 6427 TRUE FALSE
"SS18" 6760 TRUE FALSE
"SS18L1" 26039 TRUE FALSE
"ABI1" 10006 TRUE FALSE
"SSX1" 6756 TRUE FALSE
"SSX2" 6757 TRUE FALSE
"SSX4" 6759 TRUE FALSE
"STK11" 6794 TRUE TRUE
"RNF217-AS1" 7955 TRUE FALSE
"SUFU" 51684 TRUE FALSE
"SUZ12" 23512 TRUE FALSE
"SYK" 6850 TRUE FALSE
"TAF15" 8148 TRUE FALSE
"TAL1" 6886 TRUE FALSE
"TAL2" 6887 TRUE FALSE
"TCEA1" 6917 TRUE FALSE
"HNF1A" 6927 TRUE FALSE
"TCF12" 6938 TRUE FALSE
"TCF3" 6929 TRUE FALSE
"TCF7L2" 6934 TRUE FALSE
"TCL1A" 8115 TRUE FALSE
"TCL6" 27004 TRUE FALSE
"TET2" 54790 TRUE TRUE
"TFE3" 7030 TRUE FALSE
"TFEB" 7942 TRUE FALSE
"TFG" 10342 TRUE FALSE
"TFPT" 29844 TRUE FALSE
"TFRC" 7037 TRUE FALSE
"THRAP3" 9967 TRUE FALSE
"TRIM24" 8805 TRUE FALSE
"TLX1" 3195 TRUE FALSE
"TLX3" 30012 TRUE FALSE
"TMPRSS2" 7113 TRUE FALSE
"TNFAIP3" 7128 TRUE FALSE
"TNFRSF14" 8764 TRUE FALSE
"TNFRSF17" 608 TRUE FALSE
"FAS" 355 TRUE FALSE
"TOP1" 7150 TRUE FALSE
"TP53" 7157 TRUE TRUE
"TPM3" 7170 TRUE FALSE
"TPM4" 7171 TRUE FALSE
"TPR" 7175 TRUE FALSE
"TRA" 6955 TRUE FALSE
"TRB" 6957 TRUE FALSE
"TRD" 6964 TRUE FALSE
"TRIM27" 5987 TRUE FALSE
"TRIM33" 51592 TRUE FALSE
"TRIP11" 9321 TRUE FALSE
"TSC1" 7248 TRUE FALSE
"TSC2" 7249 TRUE FALSE
"TSHR" 7253 TRUE FALSE
"TTL" 150465 TRUE FALSE
"U2AF1" 7307 TRUE TRUE
"USP6" 9098 TRUE FALSE
"VHL" 7428 TRUE TRUE
"VTI1A" 143187 TRUE FALSE
"WAS" 7454 TRUE FALSE
"WHSC1" 7468 TRUE FALSE
"WHSC1L1" 54904 TRUE FALSE
"WIF1" 11197 TRUE FALSE
"WRN" 7486 TRUE FALSE
"WT1" 7490 TRUE TRUE
"AMER1" 139285 TRUE FALSE
"WWTR1" 607392 TRUE FALSE
"XPA" 7507 TRUE FALSE
"XPC" 7508 TRUE FALSE
"XPO1" 7514 TRUE FALSE
"YWHAE" 7531 TRUE FALSE
"ZBTB16" 7704 TRUE FALSE
"ZMYM2" 7750 TRUE FALSE
"PATZ1" 23598 TRUE FALSE
"ZNF331" 55422 TRUE FALSE
"ZNF384" 171017 TRUE FALSE
"ZNF521" 25925 TRUE FALSE
"CNBP" 7555 TRUE FALSE
"ZRSR2" 8233 TRUE FALSE
"NAV3" 89795 FALSE TRUE
"MAP3K1" 4214 FALSE TRUE
"MALAT1" 378938 FALSE TRUE
"TSHZ3" 57616 FALSE TRUE
"KEAP1" 9817 FALSE TRUE
